Id;Country;StartDate;EndDate;Type;Name;Comment
xxxxxx;IT;2025-05-01;;Public;IT Festa del lavoro,EN Labour Day,DE Tag der Arbeit;
xxxxxx;IT;2025-06-02;;Public;IT Festa della Repubblica,EN Republic Day,DE Tag der Republik;
xxxxxx;IT;2025-08-15;;Public;IT Assunzione di Maria,EN Assumption Day,DE Mariä Himmelfahrt;
xxxxxx;IT;2025-11-01;;Public;IT Ognissanti,EN All Saints' Day,DE Allerheiligen;
xxxxxx;IT;2025-12-08;;Public;IT Immacolata Concezione,EN Immaculate Conception,DE Mariä Empfängnis;
xxxxxx;IT;2025-12-25;;Public;IT Natale di Gesù,EN Christmas Day,DE Weihnachten;
xxxxxx;IT;2025-12-26;;Public;IT Santo Stefano,EN St. Stephen's Day,DE Stefanstag;

xxxxxx;IT;2026-01-01;;Public;IT Capodanno,EN New Year's Day,DE Neujahr;
xxxxxx;IT;2026-01-06;;Public;IT Epifania,EN Epiphany,DE Heilige drei Könige;
xxxxxx;IT;2026-04-06;;Public;IT Lunedì di Pasqua,EN Easter Monday,DE Ostermontag;
xxxxxx;IT;2026-04-25;;Public;IT Anniversario della liberazione d'Italia,EN Liberation Day,DE Jahrestag der Befreiung;
xxxxxx;IT;2026-05-01;;Public;IT Festa del lavoro,EN Labour Day,DE Tag der Arbeit;
xxxxxx;IT;2026-06-02;;Public;IT Festa della Repubblica,EN Republic Day,DE Tag der Republik;
xxxxxx;IT;2026-08-15;;Public;IT Assunzione di Maria,EN Assumption Day,DE Mariä Himmelfahrt;
xxxxxx;IT;2026-11-01;;Public;IT Ognissanti,EN All Saints' Day,DE Allerheiligen;
xxxxxx;IT;2026-12-08;;Public;IT Immacolata Concezione,EN Immaculate Conception,DE Mariä Empfängnis;
xxxxxx;IT;2026-12-25;;Public;IT Natale di Gesù,EN Christmas Day,DE Weihnachten;
xxxxxx;IT;2026-12-26;;Public;IT Santo Stefano,EN St. Stephen's Day,DE Stefanstag;

xxxxxx;IT;2027-01-01;;Public;IT Capodanno,EN New Year's Day,DE Neujahr;
xxxxxx;IT;2027-01-06;;Public;IT Epifania,EN Epiphany,DE Heilige drei Könige;
xxxxxx;IT;2027-03-29;;Public;IT Lunedì di Pasqua,EN Easter Monday,DE Ostermontag;
xxxxxx;IT;2027-04-25;;Public;IT Anniversario della liberazione d'Italia,EN Liberation Day,DE Jahrestag der Befreiung;
xxxxxx;IT;2027-05-01;;Public;IT Festa del lavoro,EN Labour Day,DE Tag der Arbeit;
xxxxxx;IT;2027-06-02;;Public;IT Festa della Repubblica,EN Republic Day,DE Tag der Republik;
xxxxxx;IT;2027-08-15;;Public;IT Assunzione di Maria,EN Assumption Day,DE Mariä Himmelfahrt;
xxxxxx;IT;2027-11-01;;Public;IT Ognissanti,EN All Saints' Day,DE Allerheiligen;
xxxxxx;IT;2027-12-08;;Public;IT Immacolata Concezione,EN Immaculate Conception,DE Mariä Empfängnis;
xxxxxx;IT;2027-12-25;;Public;IT Natale di Gesù,EN Christmas Day,DE Weihnachten;
xxxxxx;IT;2027-12-26;;Public;IT Santo Stefano,EN St. Stephen's Day,DE Stefanstag;

xxxxxx;IT;2028-01-01;;Public;IT Capodanno,EN New Year's Day,DE Neujahr;
xxxxxx;IT;2028-01-06;;Public;IT Epifania,EN Epiphany,DE Heilige drei Könige;
xxxxxx;IT;2028-04-17;;Public;IT Lunedì di Pasqua,EN Easter Monday,DE Ostermontag;
xxxxxx;IT;2028-04-25;;Public;IT Anniversario della liberazione d'Italia,EN Liberation Day,DE Jahrestag der Befreiung;
xxxxxx;IT;2028-05-01;;Public;IT Festa del lavoro,EN Labour Day,DE Tag der Arbeit;
xxxxxx;IT;2028-06-02;;Public;IT Festa della Repubblica,EN Republic Day,DE Tag der Republik;
xxxxxx;IT;2028-08-15;;Public;IT Assunzione di Maria,EN Assumption Day,DE Mariä Himmelfahrt;
xxxxxx;IT;2028-11-01;;Public;IT Ognissanti,EN All Saints' Day,DE Allerheiligen;
xxxxxx;IT;2028-12-08;;Public;IT Immacolata Concezione,EN Immaculate Conception,DE Mariä Empfängnis;
xxxxxx;IT;2028-12-25;;Public;IT Natale di Gesù,EN Christmas Day,DE Weihnachten;
xxxxxx;IT;2028-12-26;;Public;IT Santo Stefano,EN St. Stephen's Day,DE Stefanstag;

xxxxxx;IT;2029-01-01;;Public;IT Capodanno,EN New Year's Day,DE Neujahr;
xxxxxx;IT;2029-01-06;;Public;IT Epifania,EN Epiphany,DE Heilige drei Könige;
